                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0269,                0.56885,                 1.0803,                 1.1232,                0.55382,                 1.0618,                 0.9322,                0.91661,                 0.9577,                0.66062,                 1.0199,                0.51311,                 1.1077,                 1.0547,                0.47409,                 1.0904,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.028,                 0.5709,                 1.0866,                 1.1155,                0.55958,                 1.0659,                 0.9599,                0.89286,                0.96566,                0.67335,                 1.0335,                 0.5254,                 1.1026,                 1.0671,                0.46758,                 1.0631,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.004,                0.54469,                 1.0672,                 1.0891,                0.53558,                 1.0513,                0.95173,                0.92143,                0.96769,                0.67103,                 1.0146,                0.51392,                 1.0971,                 1.0617,                0.42463,                 1.0699,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0218,                0.57274,                 1.0701,                  1.113,                0.56897,                 1.0503,                 0.9182,                0.93543,                0.96843,                0.65801,                  1.071,                0.51622,                 1.1229,                 1.1084,                0.45358,                 1.0955,              0.0009308,              0.0009308,              0.0009308
                     57,                0.99867,                0.54013,                 1.0585,                 1.0858,                0.51158,                  1.048,                0.94724,                0.94036,                0.96961,                0.67427,                 1.0572,                 0.5089,                 1.1272,                 1.0792,                0.43409,                 1.0973,               0.000911,               0.000911,               0.000911
                     58,                0.97512,                0.53583,                 1.0556,                 1.0655,                0.51498,                 1.0512,                0.93319,                0.90476,                0.95873,                0.67064,                 1.0362,                0.50167,                 1.1233,                  1.074,                0.45154,                 1.0887,              0.0008912,              0.0008912,              0.0008912
                     59,                0.98151,                0.53348,                 1.0558,                  1.071,                0.50953,                 1.0428,                0.93757,                 0.9381,                0.96819,                0.67046,                 1.0476,                 0.5039,                 1.1199,                 1.0764,                0.44569,                 1.0888,              0.0008714,              0.0008714,              0.0008714
                     60,                0.97191,                0.54549,                   1.05,                 1.0609,                0.51085,                 1.0468,                0.95086,                0.92137,                0.97137,                0.68593,                 1.0248,                0.48511,                 1.1227,                 1.0468,                0.41026,                 1.0891,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.9525,                0.53056,                 1.0455,                 1.0404,                0.50736,                 1.0463,                0.93381,                0.90689,                0.96209,                0.66406,                   1.04,                0.50342,                 1.1294,                 1.0664,                0.46791,                 1.0985,              0.0008318,              0.0008318,              0.0008318
                     62,                0.97839,                0.53739,                 1.0539,                 1.0716,                0.50756,                 1.0455,                 0.9524,                0.90515,                0.96497,                 0.6731,                  1.026,                0.49557,                  1.109,                 1.0589,                0.44151,                  1.073,               0.000812,               0.000812,               0.000812
